"index","eco","group","subgroup","variant","pgn","san","fen","mv","board"
"0","A00","Flank openings","Polish (Sokolsky) opening","?","1. b4","b4","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","1. b4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb pw pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b -w -b -w || 
4| -w Pb -w -b -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw -b Pw Pb Pw Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1","A00","Flank openings","Polish","Tuebingen Variation ","1. b4 Nh6","Nh6","rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1","1.  ... Nh6","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb pw pb pw pb pw pb pw || 
6| -w -b -w -b -w -b -w nb || 
5| -b -w -b -w -b -w -b -w || 
4| -w Pb -w -b -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw -b Pw Pb Pw Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"2","A00","Flank openings","Polish","Outflank Variation ","1. b4 c6","c6","rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1","1.  ... c6","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw -b pw pb pw pb pw || 
6| -w -b pw -b -w -b -w -b || 
5| -b -w -b -w -b -w -b -w || 
4| -w Pb -w -b -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw -b Pw Pb Pw Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"3","A00","Flank openings","Benko's Opening","?","1. g3","g3","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","1. g3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb pw pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b -w -b -w || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b -w -b -w Pb -w || 
2| Pw Pb Pw Pb Pw Pb -w Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"4","A00","Flank openings","Lasker simul special","?","1. g3 h5","h5","rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1","1.  ... h5","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb pw pb -w || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b -w -b pw || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b -w -b -w Pb -w || 
2| Pw Pb Pw Pb Pw Pb -w Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"5","A00","Flank openings","Benko's Opening","reversed Alekhine","1. g3 e5 2. Nf3","Nf3","rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2","2. Nf3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw -b pw pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w pb -w -b -w || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b -w -b Nw Pb -w || 
2| Pw Pb Pw Pb Pw Pb -w Pb || 
1| Rb Nw Bb Qw Kb Bw -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"6","A00","Flank openings","Grob's attack","?","1. g4","g4","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","1. g4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb pw pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b -w -b -w || 
4| -w -b -w -b -w -b Pw -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb Pw Pb -w Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"7","A00","Flank openings","Grob","Spike attack","1. g4 d5 2. Bg2 c6 3. g5","g5","rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq - 0 3","3. g5 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw -b -w pb pw pb pw || 
6| -w -b pw -b -w -b -w -b || 
5| -b -w -b pw -b -w Pb -w || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb Pw Pb Bw Pb || 
1| Rb Nw Bb Qw Kb -w Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"8","A00","Flank openings","Grob","Fritz gambit","1. g4 d5 2. Bg2 Bxg4 3. c4","c4","rn1qkbnr/ppp1pppp/8/3p4/6b1/8/PPPPPPBP/RNBQK1NR w KQkq - 0 3","3. c4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb -w qb kw bb nw rb || 
7| pb pw pb -w pb pw pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b pw -b -w -b -w || 
4| -w -b Pw -b -w -b bw -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb -w Pb Pw Pb Bw Pb || 
1| Rb Nw Bb Qw Kb -w Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"9","A00","Flank openings","Grob","Romford counter-gambit","1. g4 d5 2. Bg2 Bxg4 3. c4 d4","d4","rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq - 0 3","3.  ... d4","tl -- -- -- -- -- -- -- -- tr 
8| rw nb -w qb kw bb nw rb || 
7| pb pw pb -w pb pw pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b -w -b -w || 
4| -w -b Pw pb -w -b bw -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb -w Pb Pw Pb Bw Pb || 
1| Rb Nw Bb Qw Kb -w Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
